130.61.219.221 - - [15/Jan/2021:20:16:20 +0000] "GET /manager/html HTTP/1.1" 403 3503
209.141.58.37 - - [15/Jan/2021:20:21:42 +0000] "GET /manager/html HTTP/1.1" 403 3503
205.185.121.138 - - [15/Jan/2021:20:32:18 +0000] "GET /manager/html HTTP/1.1" 403 3503
139.162.111.98 - - [15/Jan/2021:20:54:44 +0000] "GET / HTTP/1.1" 200 1
61.219.11.153 - - [15/Jan/2021:21:00:28 +0000] "-" 400 -
65.60.11.210 - - [15/Jan/2021:21:19:02 +0000] "GET / HTTP/1.1" 200 1
209.17.97.2 - - [15/Jan/2021:22:38:27 +0000] "GET / HTTP/1.0" 200 1
209.141.58.37 - - [15/Jan/2021:22:56:03 +0000] "GET /manager/html HTTP/1.1" 403 3503
205.185.121.138 - - [15/Jan/2021:23:01:24 +0000] "GET /manager/html HTTP/1.1" 403 3503
209.141.57.145 - - [15/Jan/2021:23:06:41 +0000] "GET /script HTTP/1.1" 404 1080
139.162.145.250 - - [15/Jan/2021:23:08:31 +0000] "GET /bag2 HTTP/1.1" 404 1078
